id_persona,activ_econo,meses_alta
113637,Grupo_07,130
230107,Grupo_11,44
44171,Grupo_11,235
115754,Grupo_04,6
150867,Grupo_04,108
150711,Grupo_15,71
78224,Grupo_11,168
108354,Grupo_11,127
150124,Grupo_12,59
239911,Grupo_15,93
133637,Grupo_11,91
95124,Grupo_11,177
145524,Grupo_15,21
179554,Grupo_14,52
175107,Grupo_15,122
38484,Grupo_15,183
104084,Grupo_11,117
73441,Grupo_15,158
229497,Grupo_11,71
99654,Grupo_15,58
92741,Grupo_15,93
59924,Grupo_15,64
6524,Grupo_11,102
225084,Grupo_15,34
57054,Grupo_15,160
36967,Grupo_14,181
112807,Grupo_11,232
148871,Grupo_11,144
98271,Grupo_11,18
204171,Grupo_12,63
2337,Grupo_11,261
108484,Grupo_15,47
71641,Grupo_07,76
140871,Grupo_15,34
57854,Grupo_11,338
169724,Grupo_15,70
106107,Grupo_11,173
139107,Grupo_15,43
216707,Grupo_11,30
47684,Grupo_15,77
163407,Grupo_15,86
214471,Grupo_15,75
216697,Grupo_15,35
104224,Grupo_15,115
153884,Grupo_11,136
154537,Grupo_11,99
114537,Grupo_11,189
16011,Grupo_15,232
130207,Grupo_15,77
62324,Grupo_11,139
242711,Grupo_11,45
241541,Grupo_15,54
76341,Grupo_04,5
168824,Grupo_15,125
222524,Grupo_15,29
207071,Grupo_15,96
215524,Grupo_15,34
232471,Grupo_15,60
239111,Grupo_11,47
168424,Grupo_15,96
3107,Grupo_11,118
129971,Grupo_07,184
164884,Grupo_14,82
207871,Grupo_11,81
214767,Grupo_11,63
139084,Grupo_11,80
91841,Grupo_11,101
181124,Grupo_11,78
158197,Grupo_11,165
239184,Grupo_07,47
65554,Grupo_14,233
142411,Grupo_15,131
93371,Grupo_14,264
239597,Grupo_15,60
38024,Grupo_11,29
19771,Grupo_07,85
253654,Grupo_15,32
53597,Grupo_15,32
178937,Grupo_11,151
234507,Grupo_15,84
160471,Grupo_11,132
88607,Grupo_07,47
187724,Grupo_15,47
93854,Grupo_11,278
118397,Grupo_11,204
206311,Grupo_15,46
108341,Grupo_11,176
46711,Grupo_15,272
106671,Grupo_11,39
219807,Grupo_15,42
91524,Grupo_07,68
49224,Grupo_15,56
89237,Grupo_11,73
190041,Grupo_11,17
3211,Grupo_07,23
242454,Grupo_15,49
92907,Grupo_11,177
79524,Grupo_15,89
153037,Grupo_11,95
74424,Grupo_15,210
161171,Grupo_11,114
205767,Grupo_15,70
6797,Grupo_11,270
144341,Grupo_11,126
141984,Grupo_15,134
132067,Grupo_15,42
142237,Grupo_15,35
152524,Grupo_11,118
61271,Grupo_11,263
155224,Grupo_11,136
186011,Grupo_11,94
35184,Grupo_15,269
174924,Grupo_15,48
190407,Grupo_11,82
228267,Grupo_15,69
153824,Grupo_11,122
31841,Grupo_11,304
213537,Grupo_15,60
90671,Grupo_08,82
228654,Grupo_15,45
244854,Grupo_15,111
197967,Grupo_07,52
147971,Grupo_15,77
30954,Grupo_07,28
12624,Grupo_14,274
190641,Grupo_11,117
191741,Grupo_07,131
222197,Grupo_15,20
182907,Grupo_14,117
133307,Grupo_11,179
176667,Grupo_15,104
244397,Grupo_11,68
14024,Grupo_15,238
44067,Grupo_07,203
203907,Grupo_10,91
52097,Grupo_11,163
220384,Grupo_11,50
60324,Grupo_15,197
171497,Grupo_07,57
187184,Grupo_15,77
88537,Grupo_11,98
107067,Grupo_15,165
254237,Grupo_13,191
117084,Grupo_15,133
117741,Grupo_07,190
143524,Grupo_15,117
52707,Grupo_07,52
71937,Grupo_15,184
10941,Grupo_11,210
16024,Grupo_07,3
166011,Grupo_15,66
186941,Grupo_15,58
6997,Grupo_11,218
111154,Grupo_15,89
199611,Grupo_15,35
116337,Grupo_04,133
13197,Grupo_15,162
35797,Grupo_11,300
20267,Grupo_07,231
137107,Grupo_07,24
210824,Grupo_15,78
841,Grupo_07,116
186684,Grupo_11,121
99384,Grupo_15,41
189337,Grupo_15,102
238271,Grupo_11,73
194124,Grupo_15,106
32707,Grupo_11,303
101667,Grupo_11,189
88584,Grupo_07,446
235241,Grupo_11,55
152337,Grupo_15,115
217607,Grupo_15,33
7907,Grupo_07,227
1967,Grupo_15,32
89471,Grupo_07,31
29107,Grupo_07,272
176171,Grupo_15,124
245567,Grupo_08,33
206641,Grupo_15,67
130841,Grupo_11,151
199484,Grupo_11,38
241024,Grupo_11,1
50671,Grupo_15,51
15454,Grupo_15,301
11371,Grupo_11,270
5707,Grupo_11,1
115424,Grupo_15,111
30024,Grupo_13,131
174397,Grupo_11,96
73454,Grupo_14,179
10637,Grupo_15,260
132241,Grupo_11,140
229484,Grupo_11,43
251184,Grupo_15,33
165267,Grupo_15,118
250811,Grupo_15,53
153554,Grupo_13,127
35441,Grupo_09,212
66184,Grupo_13,264
135741,Grupo_15,131
244724,Grupo_15,24
214907,Grupo_11,94
88467,Grupo_15,225
146484,Grupo_15,134
184284,Grupo_07,115
105667,Grupo_11,218
36954,Grupo_07,143
154524,Grupo_11,159
177271,Grupo_07,20
25297,Grupo_14,239
94884,Grupo_07,32
167371,Grupo_15,29
51711,Grupo_11,192
91737,Grupo_11,216
163511,Grupo_08,161
99054,Grupo_11,284
85367,Grupo_15,28
211007,Grupo_15,34
216297,Grupo_15,72
64384,Grupo_07,15
171341,Grupo_07,67
30567,Grupo_15,169
158054,Grupo_15,125
32011,Grupo_11,327
9871,Grupo_15,22
76671,Grupo_07,88
64607,Grupo_07,17
122507,Grupo_11,103
58011,Grupo_15,151
63907,Grupo_11,2
251997,Grupo_11,46
215267,Grupo_07,88
243097,Grupo_15,42
168084,Grupo_11,94
180307,Grupo_11,36
80597,Grupo_15,26
57207,Grupo_11,49
51207,Grupo_15,219
117897,Grupo_15,185
118371,Grupo_13,89
195567,Grupo_11,56
56024,Grupo_15,91
86911,Grupo_15,66
89107,Grupo_11,1
105007,Grupo_09,158
123311,Grupo_15,36
161654,Grupo_11,90
65484,Grupo_08,69
137697,Grupo_15,190
180907,Grupo_15,118
49611,Grupo_15,135
72307,Grupo_15,195
220371,Grupo_07,1
83271,Grupo_08,249
155941,Grupo_11,116
180541,Grupo_15,69
228111,Grupo_15,16
145537,Grupo_15,101
186354,Grupo_11,32
119297,Grupo_15,57
5684,Grupo_11,241
218037,Grupo_11,47
108497,Grupo_11,217
110641,Grupo_11,193
215667,Grupo_11,62
216897,Grupo_15,84
62854,Grupo_14,218
147607,Grupo_15,33
937,Grupo_11,281
152124,Grupo_15,180
154441,Grupo_12,49
47107,Grupo_15,147
96554,Grupo_14,129
54437,Grupo_11,214
216541,Grupo_15,53
208124,Grupo_11,81
160411,Grupo_07,34
172654,Grupo_15,143
96141,Grupo_11,216
136797,Grupo_15,92
170711,Grupo_07,92
6171,Grupo_14,206
247297,Grupo_15,58
172041,Grupo_15,57
30271,Grupo_07,171
87497,Grupo_09,236
21741,Grupo_07,132
153567,Grupo_11,115
204724,Grupo_04,19
135871,Grupo_11,74
251571,Grupo_15,25
150184,Grupo_11,88
221697,Grupo_15,44
129867,Grupo_11,40
192171,Grupo_11,131
168411,Grupo_07,125
73711,Grupo_04,53
137837,Grupo_15,22
198524,Grupo_11,115
7307,Grupo_07,238
237197,Grupo_11,87
98224,Grupo_15,120
84184,Grupo_15,46
9954,Grupo_07,98
52767,Grupo_07,10
251267,Grupo_15,15
159824,Grupo_07,1
8984,Grupo_07,84
87884,Grupo_15,223
53997,Grupo_07,59
46184,Grupo_15,175
89907,Grupo_07,163
89307,Grupo_11,80
24067,Grupo_11,257
11384,Grupo_11,150
132737,Grupo_15,152
30767,Grupo_07,52
253267,Grupo_15,36
59997,Grupo_07,160
191307,Grupo_15,82
187441,Grupo_15,56
207941,Grupo_07,42
179071,Grupo_15,24
61624,Grupo_15,147
106354,Grupo_11,156
73737,Grupo_15,265
152841,Grupo_08,54
168167,Grupo_11,123
112597,Grupo_15,162
200737,Grupo_11,45
4724,Grupo_09,38
43684,Grupo_07,182
180754,Grupo_11,39
34071,Grupo_07,24
137811,Grupo_15,203
72541,Grupo_07,76
200997,Grupo_15,85
243837,Grupo_15,79
69284,Grupo_15,119
176407,Grupo_11,146
182884,Grupo_11,90
46397,Grupo_14,134
123537,Grupo_15,107
102837,Grupo_07,51
214567,Grupo_15,22
117811,Grupo_14,125
18811,Grupo_15,122
225884,Grupo_15,71
34811,Grupo_08,83
6867,Grupo_13,119
176267,Grupo_15,117
64511,Grupo_07,268
151424,Grupo_15,48
20371,Grupo_07,243
65967,Grupo_11,200
190124,Grupo_15,129
96754,Grupo_15,29
81211,Grupo_15,17
114724,Grupo_11,32
180897,Grupo_15,88
46041,Grupo_13,180
105911,Grupo_07,217
10271,Grupo_11,96
224924,Grupo_09,66
70611,Grupo_15,43
184697,Grupo_11,97
74897,Grupo_15,145
211841,Grupo_15,69
169597,Grupo_12,151
254897,Grupo_07,44
230341,Grupo_15,72
54624,Grupo_11,35
219111,Grupo_15,25
63424,Grupo_09,80
235571,Grupo_15,18
54697,Grupo_07,36
92671,Grupo_06,157
210037,Grupo_08,38
198407,Grupo_11,43
23471,Grupo_11,394
112911,Grupo_15,106
49141,Grupo_04,19
140224,Grupo_08,200
220054,Grupo_15,66
153297,Grupo_15,38
111437,Grupo_15,121
249424,Grupo_07,1
45471,Grupo_07,53
162507,Grupo_11,162
20041,Grupo_08,93
107924,Grupo_15,160
90424,Grupo_09,28
45811,Grupo_11,93
93511,Grupo_07,58
109597,Grupo_07,31
67967,Grupo_11,258
180424,Grupo_07,32
157767,Grupo_15,67
229824,Grupo_15,73
81284,Grupo_14,289
145911,Grupo_07,35
189641,Grupo_15,88
53667,Grupo_11,140
103724,Grupo_15,191
124567,Grupo_15,163
58437,Grupo_15,144
44324,Grupo_07,54
92037,Grupo_09,49
161311,Grupo_15,96
20911,Grupo_11,287
201811,Grupo_11,100
252697,Grupo_15,36
114267,Grupo_11,162
241767,Grupo_15,33
3824,Grupo_11,297
16167,Grupo_08,114
81237,Grupo_07,78
200371,Grupo_15,33
123854,Grupo_15,210
235007,Grupo_15,106
253524,Grupo_15,28
130441,Grupo_11,129
97254,Grupo_11,166
45671,Grupo_15,198
231254,Grupo_15,49
41411,Grupo_15,94
38271,Grupo_04,272
178784,Grupo_11,85
201637,Grupo_07,29
19407,Grupo_11,220
103467,Grupo_11,201
217124,Grupo_15,48
154584,Grupo_07,96
169371,Grupo_15,126
149184,Grupo_07,160
93971,Grupo_15,279
161784,Grupo_11,105
123171,Grupo_15,47
82711,Grupo_13,204
100824,Grupo_08,4
167171,Grupo_11,136
55584,Grupo_07,140
127041,Grupo_15,53
141337,Grupo_07,41
28124,Grupo_11,49
67541,Grupo_15,183
48997,Grupo_09,82
129171,Grupo_07,174
149597,Grupo_15,22
196407,Grupo_15,38
108024,Grupo_15,156
144167,Grupo_04,135
174724,Grupo_11,60
156667,Grupo_07,59
179297,Grupo_15,42
76011,Grupo_15,22
143854,Grupo_15,171
252671,Grupo_11,53
147397,Grupo_15,96
116324,Grupo_15,136
214941,Grupo_15,73
218097,Grupo_15,80
221897,Grupo_11,80
195354,Grupo_11,109
129807,Grupo_11,154
191897,Grupo_11,76
152467,Grupo_11,4
239797,Grupo_07,1
119471,Grupo_11,22
60397,Grupo_01,122
153671,Grupo_15,102
210567,Grupo_11,100
167407,Grupo_15,123
9884,Grupo_14,273
136937,Grupo_15,95
138207,Grupo_07,71
22971,Grupo_09,39
5484,Grupo_15,227
10284,Grupo_11,217
15771,Grupo_08,138
230767,Grupo_15,84
64171,Grupo_07,32
219207,Grupo_15,28
182507,Grupo_15,144
254297,Grupo_11,26
45437,Grupo_11,174
141124,Grupo_11,111
39571,Grupo_11,66
104024,Grupo_11,225
83507,Grupo_13,212
82597,Grupo_14,270
114397,Grupo_11,155
72941,Grupo_11,197
153437,Grupo_15,149
64454,Grupo_11,32
26597,Grupo_11,88
173024,Grupo_15,61
211511,Grupo_11,79
93137,Grupo_15,104
52967,Grupo_08,127
26241,Grupo_13,290
109407,Grupo_15,156
162497,Grupo_15,154
30167,Grupo_11,101
255797,Grupo_15,66
92897,Grupo_13,226
29624,Grupo_11,235
18011,Grupo_11,173
10871,Grupo_11,114
59524,Grupo_07,214
232071,Grupo_11,36
121524,Grupo_15,178
31584,Grupo_11,165
89424,Grupo_11,107
26467,Grupo_07,223
2654,Grupo_15,87
147737,Grupo_11,155
134584,Grupo_07,143
186424,Grupo_15,81
70624,Grupo_11,173
73041,Grupo_15,205
109067,Grupo_11,128
56884,Grupo_15,35
166341,Grupo_11,112
16824,Grupo_11,60
213267,Grupo_15,15
79007,Grupo_07,134
16307,Grupo_11,175
234754,Grupo_15,28
160141,Grupo_08,30
134111,Grupo_11,95
104837,Grupo_15,34
180297,Grupo_11,77
129984,Grupo_15,147
185971,Grupo_11,60
249671,Grupo_15,31
138771,Grupo_15,192
16637,Grupo_09,240
57311,Grupo_07,76
30084,Grupo_11,65
49624,Grupo_15,164
39241,Grupo_11,257
38011,Grupo_13,254
126307,Grupo_07,42
110137,Grupo_15,54
105854,Grupo_11,47
221754,Grupo_04,63
241154,Grupo_15,15
37924,Grupo_15,200
37207,Grupo_07,78
139037,Grupo_15,44
194971,Grupo_11,76
159071,Grupo_15,54
237137,Grupo_11,50
39737,Grupo_11,272
177437,Grupo_15,37
49671,Grupo_07,278
119871,Grupo_06,176
38624,Grupo_07,106
48597,Grupo_11,151
189311,Grupo_11,71
19997,Grupo_11,75
143324,Grupo_07,78
149054,Grupo_07,26
43141,Grupo_11,244
194441,Grupo_15,15
584,Grupo_15,269
148497,Grupo_11,149
252684,Grupo_11,60
65341,Grupo_13,155
210307,Grupo_07,86
105607,Grupo_11,13
229554,Grupo_15,23
155637,Grupo_11,22
155367,Grupo_07,149
105467,Grupo_14,195
131037,Grupo_15,156
147007,Grupo_15,55
200184,Grupo_13,97
95937,Grupo_07,19
130711,Grupo_13,151
161911,Grupo_15,167
43507,Grupo_15,28
141171,Grupo_15,58
129384,Grupo_15,49
149911,Grupo_11,103
242654,Grupo_15,35
117767,Grupo_11,151
13337,Grupo_11,60
51607,Grupo_07,302
208597,Grupo_15,52
142224,Grupo_15,138
229811,Grupo_15,31
243541,Grupo_15,59
31197,Grupo_07,9
15937,Grupo_16,268
207307,Grupo_15,51
95771,Grupo_07,46
195141,Grupo_15,82
18237,Grupo_11,24
129184,Grupo_07,84
133741,Grupo_11,74
109267,Grupo_11,223
92437,Grupo_13,217
227637,Grupo_15,81
55041,Grupo_11,71
229637,Grupo_15,86
25941,Grupo_15,95
198711,Grupo_11,1
234554,Grupo_15,94
160011,Grupo_15,80
42184,Grupo_11,57
143171,Grupo_13,107
173624,Grupo_11,152
65011,Grupo_11,217
205954,Grupo_15,59
211597,Grupo_07,60
95667,Grupo_14,248
187997,Grupo_11,60
101997,Grupo_07,35
124224,Grupo_11,106
120897,Grupo_15,97
184437,Grupo_15,48
122471,Grupo_11,86
246667,Grupo_15,54
104437,Grupo_15,44
230141,Grupo_11,58
225624,Grupo_15,20
153011,Grupo_15,50
138924,Grupo_15,104
24524,Grupo_11,216
226337,Grupo_15,34
8207,Grupo_11,64
230071,Grupo_14,21
129667,Grupo_07,31
207237,Grupo_15,29
171354,Grupo_15,28
23211,Grupo_07,315
158807,Grupo_15,130
171437,Grupo_15,27
255337,Grupo_15,101
152724,Grupo_11,73
87567,Grupo_07,81
223071,Grupo_11,43
111211,Grupo_07,119
239207,Grupo_15,47
18271,Grupo_07,195
87341,Grupo_15,47
143784,Grupo_15,113
83954,Grupo_09,11
124824,Grupo_15,36
167641,Grupo_11,161
137437,Grupo_11,58
106741,Grupo_15,105
106554,Grupo_08,9
141911,Grupo_07,63
115284,Grupo_11,188
245884,Grupo_15,72
166424,Grupo_11,106
35007,Grupo_07,38
229541,Grupo_15,97
166271,Grupo_15,80
77007,Grupo_07,28
165067,Grupo_15,34
105984,Grupo_11,121
34624,Grupo_15,58
14037,Grupo_14,297
118641,Grupo_11,202
167854,Grupo_10,71
229837,Grupo_15,33
250541,Grupo_15,29
156441,Grupo_11,156
231654,Grupo_15,71
92367,Grupo_11,188
180354,Grupo_15,101
41754,Grupo_15,154
44467,Grupo_15,65
133367,Grupo_15,132
102084,Grupo_15,40
162541,Grupo_11,116
72554,Grupo_11,324
6054,Grupo_08,247
54897,Grupo_15,117
571,Grupo_15,170
112397,Grupo_15,171
180224,Grupo_08,101
44054,Grupo_11,126
220467,Grupo_15,31
196454,Grupo_11,68
30367,Grupo_11,152
156537,Grupo_07,39
68454,Grupo_07,208
73597,Grupo_11,73
89037,Grupo_11,141
40241,Grupo_11,107
116054,Grupo_07,107
153767,Grupo_15,158
41671,Grupo_09,209
90967,Grupo_15,197
156841,Grupo_14,36
200241,Grupo_15,21
75711,Grupo_07,1
128624,Grupo_15,103
99667,Grupo_11,266
6711,Grupo_11,41
142424,Grupo_11,136
51384,Grupo_15,157
208054,Grupo_11,54
201741,Grupo_15,113
123867,Grupo_15,180
104897,Grupo_08,31
122967,Grupo_15,181
57937,Grupo_11,230
148341,Grupo_15,147
188071,Grupo_15,137
91007,Grupo_15,80
108167,Grupo_04,242
223884,Grupo_15,59
126224,Grupo_15,143
189111,Grupo_15,56
145111,Grupo_15,117
237267,Grupo_15,35
82997,Grupo_11,301
159671,Grupo_15,63
180141,Grupo_15,121
256367,Grupo_07,181
34871,Grupo_15,198
73971,Grupo_15,238
28511,Grupo_15,136
252097,Grupo_15,43
69897,Grupo_07,53
114841,Grupo_09,58
185324,Grupo_07,61
250297,Grupo_15,15
213007,Grupo_11,47
189667,Grupo_07,73
76141,Grupo_15,146
213511,Grupo_15,73
67554,Grupo_11,195
59311,Grupo_07,53
63141,Grupo_15,77
48937,Grupo_07,20
139024,Grupo_15,167
16237,Grupo_15,144
21411,Grupo_07,28
166107,Grupo_11,146
86641,Grupo_08,19
44654,Grupo_03,25
18954,Grupo_10,55
226607,Grupo_15,57
239924,Grupo_15,46
25837,Grupo_15,57
163207,Grupo_15,152
238367,Grupo_11,45
77197,Grupo_15,281
148897,Grupo_15,122
43837,Grupo_11,71
28324,Grupo_11,61
118124,Grupo_11,165
64971,Grupo_11,56
124754,Grupo_04,92
13924,Grupo_07,36
5954,Grupo_11,48
45507,Grupo_11,268
145711,Grupo_07,113
197811,Grupo_11,85
133671,Grupo_15,160
14154,Grupo_11,28
107654,Grupo_11,212
203097,Grupo_15,42
43341,Grupo_08,187
172441,Grupo_15,71
171154,Grupo_15,57
105124,Grupo_15,92
3637,Grupo_11,275
184411,Grupo_15,76
173884,Grupo_15,50
249624,Grupo_15,22
230211,Grupo_07,25
31007,Grupo_13,293
132867,Grupo_04,150
219371,Grupo_15,68
122341,Grupo_11,151
67367,Grupo_13,200
37711,Grupo_11,220
34307,Grupo_07,307
121207,Grupo_11,123
41024,Grupo_15,6
146707,Grupo_07,107
251584,Grupo_11,15
99784,Grupo_12,217
46124,Grupo_07,190
114867,Grupo_15,126
130311,Grupo_08,84
149924,Grupo_15,136
153107,Grupo_11,94
198324,Grupo_11,98
237571,Grupo_15,27
138784,Grupo_15,91
183067,Grupo_11,130
61684,Grupo_14,352
114584,Grupo_15,169
141607,Grupo_11,164
30554,Grupo_07,176
166684,Grupo_15,139
152537,Grupo_11,101
212271,Grupo_07,26
50824,Grupo_04,224
212154,Grupo_11,62
96684,Grupo_07,112
13254,Grupo_15,307
239337,Grupo_15,74
26971,Grupo_11,40
73654,Grupo_11,193
76871,Grupo_09,24
134384,Grupo_04,116
98037,Grupo_13,211
199097,Grupo_04,51
45567,Grupo_14,118
177824,Grupo_11,146
135837,Grupo_07,82
75337,Grupo_15,111
83424,Grupo_15,80
128554,Grupo_13,129
165397,Grupo_15,125
93984,Grupo_07,35
229271,Grupo_07,102
29954,Grupo_11,232
23967,Grupo_07,250
23297,Grupo_15,278
8911,Grupo_01,88
160697,Grupo_15,150
138584,Grupo_15,149
93724,Grupo_11,187
235724,Grupo_15,59
212837,Grupo_15,54
25424,Grupo_11,72
244241,Grupo_15,27
155167,Grupo_07,18
144307,Grupo_15,102
170984,Grupo_15,107
52941,Grupo_11,218
198207,Grupo_15,72
97407,Grupo_15,275
34471,Grupo_15,60
18941,Grupo_15,146
129041,Grupo_15,47
129111,Grupo_11,112
171567,Grupo_14,84
117907,Grupo_09,163
29437,Grupo_07,252
207271,Grupo_15,49
151141,Grupo_07,45
241354,Grupo_15,83
114324,Grupo_11,220
107571,Grupo_07,100
85707,Grupo_15,37
248867,Grupo_11,28
29011,Grupo_11,245
165911,Grupo_07,21
127571,Grupo_14,132
68511,Grupo_15,69
249411,Grupo_15,32
198467,Grupo_15,95
120707,Grupo_07,151
143654,Grupo_11,153
53041,Grupo_11,204
62797,Grupo_11,307
98811,Grupo_07,134
41967,Grupo_14,265
89341,Grupo_07,48
27884,Grupo_11,289
132511,Grupo_11,142
212541,Grupo_07,31
239041,Grupo_11,56
105841,Grupo_15,172
131237,Grupo_11,178
218824,Grupo_15,63
158111,Grupo_07,15
120767,Grupo_11,73
91441,Grupo_14,205
131541,Grupo_11,148
107771,Grupo_15,181
60337,Grupo_07,23
122767,Grupo_15,47
63284,Grupo_11,261
115671,Grupo_15,200
227107,Grupo_11,44
128941,Grupo_15,23
233171,Grupo_15,35
245897,Grupo_15,85
14611,Grupo_07,285
102411,Grupo_15,169
44397,Grupo_07,79
167041,Grupo_15,36
110197,Grupo_11,240
140884,Grupo_11,193
25624,Grupo_15,50
218684,Grupo_15,80
22441,Grupo_11,241
231911,Grupo_15,15
163924,Grupo_15,147
175741,Grupo_15,109
7097,Grupo_07,244
85884,Grupo_11,263
129537,Grupo_15,32
191037,Grupo_13,120
89297,Grupo_11,146
247071,Grupo_15,62
88197,Grupo_15,252
41767,Grupo_15,26
155237,Grupo_15,109
189911,Grupo_04,17
149467,Grupo_15,153
105384,Grupo_11,200
196054,Grupo_15,109
186754,Grupo_07,87
173871,Grupo_14,90
26371,Grupo_06,194
51041,Grupo_11,17
140437,Grupo_15,193
81707,Grupo_04,302
55571,Grupo_15,60
57737,Grupo_07,372
222737,Grupo_15,36
96084,Grupo_11,215
116524,Grupo_11,158
140471,Grupo_13,141
102954,Grupo_15,35
170067,Grupo_15,126
100871,Grupo_11,252
139484,Grupo_07,190
143241,Grupo_15,86
100341,Grupo_07,217
188037,Grupo_15,41
200711,Grupo_12,68
130924,Grupo_15,51
50967,Grupo_15,78
187584,Grupo_15,79
10011,Grupo_08,272
123524,Grupo_15,98
117107,Grupo_07,3
106637,Grupo_11,162
154241,Grupo_15,143
159011,Grupo_07,166
89484,Grupo_11,203
8324,Grupo_11,11
121784,Grupo_14,116
158537,Grupo_11,60
99311,Grupo_11,295
123511,Grupo_11,85
237784,Grupo_15,16
199811,Grupo_15,51
208737,Grupo_15,70
106684,Grupo_15,73
112997,Grupo_11,231
150467,Grupo_15,146
241684,Grupo_11,104
181807,Grupo_15,123
222607,Grupo_15,33
69424,Grupo_15,60
174807,Grupo_13,144
